Field=Designator~String~Designator~197|Field=Manu. P/N~String~Manu. P/N~142|Field=Quantity~Integer~Quantity~74|Field=VALUE~String~VALUE~69|Field=Description~String~Description~494|Field=Footprint~String~Footprint~119|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CaribouLite.PrjPcb|ReportField=ProjectFullPath~D:\Projects\cariboulite_hardware\src\CaribouLite.PrjPcb|ReportField=Title~BOM_PartType For Project [CaribouLite.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~204|ReportField=ReportTime~3:01:13 PM|ReportField=ReportDate~6/17/2021|ReportField=ReportDateTime~6/17/2021 3:01:13 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProductNamePN~CaribouLite / CARIBOULITE-V2|ReportField=PCB_Reviewer~-|ReportField=PCB_Rev~B|ReportField=PCB_DrawingNum~DN00002|ReportField=PCB_Designer~DM|ReportField=DrawingNumber~DN00001|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=Designer~DM|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~2|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.04|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A3 297 x 420 mm|PaperIndex=8|ReportField=ProjectName~|ReportField=Reviewer~-|ReportField=Revision~B|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTitle~Top Level Design|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~CaribouLite.PrjPcb|ReportField=DataSourceFullPath~D:\Projects\cariboulite_hardware\src\CaribouLite.PrjPcb|ReportField=PCBDataSourceFileName~PCB_R3.CSPcbDoc|ReportField=PCBDataSourceFullPath~D:\Projects\cariboulite_hardware\src\PCB_R3.CSPcbDoc
U27, U28|MMBT3904,215|2||Bipolar Transistors - BJT TRANS BIPOLAR|SOT95P240X111-3N
U26|CAT24C32HU4I-GT3|1||EEPROM Serial-I2C 32K 4Kx8 1.8V/5V UDFN8 CAT24C32HU4I-GT3|SON50P300X200X55-9N
U25|SG-8018CG 125.0000M-TJHPA3|1||Standard Clock Oscillators SG-8018CG 125.0000M-TJHPA3: MHZ OSC 1.8V 3.3V +/-50PPM -40 105C O/E 250TR|SG-8018CG
U23|TC1-1-13M+|1||Transformers / Signal Transformers TC XFMR / SURF MOUNT|TC1-1-13M
U22|RFFC5072TR13|1||RF Mixer LO Freq. 85-4200MHz WB Synthesizer/VCO|QFN50P500X500X85_HS-33N
U21|TC4-19G2-|1||Audio Transformers / Signal Transformers TC XFMR / SURF MOUNT / RoHS, Alternatives - TC4-19+|TC4-19
U19, U20|CG2409X3-C2|2||RF Switch ICs 50-6000MHz SPDT 802.11a/b/g/n/ac|SON50P150X150X40-7N
U16|ICE40LP1K-QN84|1||FPGA - Field Programmable Gate Array iCE40LP 1280 LUTs 1.2V Ultra Low-Power|LATTICE_ICE40LP1K-QN84
U13, U14|CG2164X3-C2|2||RF Switch ICs 2.5 and 6GHz DPDT 802.11a/b/g/n/ac|SON50P150X150X40-7N
U12|HFCN-2275+|1||Signal Conditioning HI PASS FLTR / SURF MT / RoHS|FV1206
U11, U18|SKY13373-460LF|2||RF Switch ICs .1-6.0GHz SP3T IL .45dB @ 2.5GHz|QFN50P200X200X60-13N-D
U10|LFCN-2250+|1||LTCC Low Pass Filter, DC - 2200 MHz, 50O|FV1206
U9, U15|MAAM-011229|2||RF Amplifier .05-4GHz NF 2.2dBmax -40C +85C|PDFN_2MM_8LEAD
U7, U8, U24|NFM18CC102R1C3D|3||Feed Through Capacitors 0603 1000pF +/-20% 16 volt 600mA|NFM18CC_NFM18PC
U6|TLV75101PDSQT|1||LDO Voltage Regulators 500-mA, low-IQ, high-PSRR, adjustable, dual-channel low-dropout (LDO) voltage regulator 10-WSON -40 to 125|SON40P200X200X80-11N
U5|XCL206A333CR-G|1||Buck Converter Sync, Integral inductor 600 mA Cl-2025|CONV_XCL206B333AR-G
U4|0896BM15E0025E|1||RF Balun 863MHz ~ 928MHz 50 / 50Ohm 0805 (2012 Metric)|FIL_0896BM15E0025E
U3|KT2520K26000ZAW28QAS|1|26 MHz|TCXO Oscillators 26MHz 0.5ppm -30C +85C 2.5x2mm, 2.8V|KT2520K_2.5/2.0mm
U2|2450FB15A050E|1||2.45 GHz EIA 0805 Balun / Filter Combination 50 / 50Ohm 0805 (2012 Metric)|FIL_0896BM15E0025E
